,date_dt,temp,ground_code,ground_expl,prec_mm_total_24h,prec_mm_6h,snow_depth_cm,snow_depth_cm_accumulated,date,month,day,year,dow,dow_name,holiday
0,2021-01-04,0.3,11,partial_snow_packed_wet_lt_half,0.0,0.0,0.0,0.0,2021-01-04,1,4,2021,0,Monday,False
1,2021-01-05,0.2,0,dry,0.0,0.0,0.0,0.0,2021-01-05,1,5,2021,1,Tuesday,False
2,2021-01-08,0.5,11,partial_snow_packed_wet_lt_half,0.9,0.0,0.0,0.0,2021-01-08,1,8,2021,4,Friday,False
3,2021-01-21,4.1,11,partial_snow_packed_wet_lt_half,0.5,2.0,0.0,0.0,2021-01-21,1,21,2021,3,Thursday,False
4,2021-01-22,4.1,11,partial_snow_packed_wet_lt_half,4.8,0.0,0.0,0.0,2021-01-22,1,22,2021,4,Friday,False
5,2021-01-27,-3.7,17,complete_snow_loose_dry,0.0,0.0,5.0,0.0,2021-01-27,1,27,2021,2,Wednesday,False
6,2021-01-28,-5.6,17,complete_snow_loose_dry,10.9,0.0,5.0,0.0,2021-01-28,1,28,2021,3,Thursday,False
7,2021-02-04,-9.1,17,complete_snow_loose_dry,0.1,0.0,23.0,0.0,2021-02-04,2,4,2021,3,Thursday,False
8,2021-02-05,-8.9,17,complete_snow_loose_dry,0.4,0.0,18.0,0.0,2021-02-05,2,5,2021,4,Friday,False
9,2021-02-10,-11.7,17,complete_snow_loose_dry,1.1,0.0,14.000000000000002,0.0,2021-02-10,2,10,2021,2,Wednesday,False
10,2021-03-05,-3.2,0,dry,0.0,0.0,0.0,0.0,2021-03-05,3,5,2021,4,Friday,False
11,2021-03-17,0.1,0,dry,0.0,0.0,0.0,0.0,2021-03-17,3,17,2021,2,Wednesday,False
12,2021-11-09,0.0,0,dry,8.0,0.0,0.0,0.0,2021-11-09,11,9,2021,1,Tuesday,False
13,2021-12-07,-12.6,17,complete_snow_loose_dry,0.0,0.0,3.0,0.0,2021-12-07,12,7,2021,1,Tuesday,False
14,2021-12-16,4.7,0,dry,0.0,0.0,0.0,0.0,2021-12-16,12,16,2021,3,Thursday,False
15,2021-12-17,2.5,0,dry,0.0,0.0,0.0,0.0,2021-12-17,12,17,2021,4,Friday,False
16,2022-01-27,2.7,0,dry,2.8,0.0,0.0,0.0,2022-01-27,1,27,2022,3,Thursday,False
17,2022-02-01,-4.9,17,complete_snow_loose_dry,0.0,0.0,2.0,0.0,2022-02-01,2,1,2022,1,Tuesday,False
18,2022-02-04,2.3,11,partial_snow_packed_wet_lt_half,6.7,1.3,0.0,0.0,2022-02-04,2,4,2022,4,Friday,False
19,2022-02-10,2.3,0,dry,0.0,0.0,0.0,0.0,2022-02-10,2,10,2022,3,Thursday,False
20,2022-02-15,4.0,0,dry,0.4,0.0,0.0,0.0,2022-02-15,2,15,2022,1,Tuesday,False
21,2022-11-07,10.0,0,dry,6.3,0.2,0.0,0.0,2022-11-07,11,7,2022,0,Monday,False
22,2022-11-08,7.2,0,dry,2.5,0.0,0.0,0.0,2022-11-08,11,8,2022,1,Tuesday,False
23,2022-12-06,-4.0,0,dry,0.0,0.0,0.0,0.0,2022-12-06,12,6,2022,1,Tuesday,False
24,2022-12-08,-6.6,0,dry,0.4,0.0,0.0,0.0,2022-12-08,12,8,2022,3,Thursday,False
25,2022-12-16,-9.5,17,complete_snow_loose_dry,0.0,0.0,14.000000000000002,0.0,2022-12-16,12,16,2022,4,Friday,False
26,2022-12-19,1.1,17,complete_snow_loose_dry,1.5,0.0,6.0,0.0,2022-12-19,12,19,2022,0,Monday,False
27,2023-01-12,3.2,0,dry,0.1,0.0,0.0,0.0,2023-01-12,1,12,2023,3,Thursday,False
28,2023-01-17,3.0,0,dry,4.0,0.0,0.0,0.0,2023-01-17,1,17,2023,1,Tuesday,False
29,2023-02-01,-0.7,0,dry,2.0,0.3,0.0,0.0,2023-02-01,2,1,2023,2,Wednesday,False
30,2023-02-09,1.9,0,dry,0.0,0.0,0.0,0.0,2023-02-09,2,9,2023,3,Thursday,False
31,2023-03-02,1.1,0,dry,0.0,0.0,0.0,0.0,2023-03-02,3,2,2023,3,Thursday,False
32,2023-03-07,-4.9,12,partial_snow_packed_wet_el_half,9.3,0.0,1.0,0.0,2023-03-07,3,7,2023,1,Tuesday,False
33,2023-03-13,-2.8,17,complete_snow_loose_dry,8.4,0.0,15.0,0.0,2023-03-13,3,13,2023,0,Monday,False
34,2023-03-15,-1.5,12,partial_snow_packed_wet_el_half,0.0,0.0,8.0,0.0,2023-03-15,3,15,2023,2,Wednesday,False
35,2023-03-16,-2.3,12,partial_snow_packed_wet_el_half,0.0,0.0,3.0,0.0,2023-03-16,3,16,2023,3,Thursday,False
36,2023-03-20,3.7,0,dry,1.0,1.5,0.0,0.0,2023-03-20,3,20,2023,0,Monday,False
37,2023-11-07,6.0,0,dry,2.6,0.6,0.0,0.0,2023-11-07,11,7,2023,1,Tuesday,False
38,2023-11-08,5.5,0,dry,5.0,0.2,0.0,0.0,2023-11-08,11,8,2023,2,Wednesday,False
39,2023-11-09,4.4,0,dry,4.6,0.0,0.0,0.0,2023-11-09,11,9,2023,3,Thursday,False
40,2023-12-15,-6.3,17,complete_snow_loose_dry,0.4,0.0,7.000000000000001,0.0,2023-12-15,12,15,2023,4,Friday,False
41,2023-12-18,6.6,11,partial_snow_packed_wet_lt_half,0.5,0.0,0.0,0.0,2023-12-18,12,18,2023,0,Monday,False
42,2023-12-19,6.8,0,dry,0.0,0.39999999999999997,0.0,0.0,2023-12-19,12,19,2023,1,Tuesday,False
43,2023-12-22,0.4,11,partial_snow_packed_wet_lt_half,4.5,3.2,0.0,0.0,2023-12-22,12,22,2023,4,Friday,False
44,2024-01-08,-11.0,17,complete_snow_loose_dry,0.0,0.0,10.0,0.0,2024-01-08,1,8,2024,0,Monday,False
