,date_dt,temp,ground_code,ground_expl,prec_mm_total_24h,prec_mm_6h,snow_depth_cm,snow_depth_cm_accumulated,date,month,day,year,dow,dow_name,holiday
6,2021-01-07,0.0,17,complete_snow_loose_dry,0.7,0.4,1.0,1.0,2021-01-07,1,7,2021,3,Thursday,False
10,2021-01-11,-3.0,17,complete_snow_loose_dry,26.6,0.0,4.0,4.0,2021-01-11,1,11,2021,0,Monday,False
12,2021-01-13,-2.0,17,complete_snow_loose_dry,6.1,0.0,2.0,1.0,2021-01-13,1,13,2021,2,Wednesday,False
13,2021-01-14,-2.7,17,complete_snow_loose_dry,1.0,1.2,12.0,10.0,2021-01-14,1,14,2021,3,Thursday,False
14,2021-01-15,-9.9,17,complete_snow_loose_dry,0.5,0.0,14.000000000000002,2.0000000000000018,2021-01-15,1,15,2021,4,Friday,False
25,2021-01-26,-3.1,17,complete_snow_loose_dry,0.0,0.0,6.0,6.0,2021-01-26,1,26,2021,1,Tuesday,False
28,2021-01-29,-4.0,17,complete_snow_loose_dry,0.3,0.0,17.0,12.0,2021-01-29,1,29,2021,4,Friday,False
33,2021-02-03,-6.0,17,complete_snow_loose_dry,0.3,0.0,24.0,12.0,2021-02-03,2,3,2021,2,Wednesday,False
41,2021-02-11,-11.8,17,complete_snow_loose_dry,0.1,0.1,16.0,1.9999999999999982,2021-02-11,2,11,2021,3,Thursday,False
42,2021-02-12,-10.7,17,complete_snow_loose_dry,0.0,0.0,17.0,1.0,2021-02-12,2,12,2021,4,Friday,False
68,2021-03-10,-5.6,12,partial_snow_packed_wet_el_half,0.3,0.0,1.0,1.0,2021-03-10,3,10,2021,2,Wednesday,False
70,2021-03-12,2.2,12,partial_snow_packed_wet_el_half,1.2,0.0,3.0,2.0,2021-03-12,3,12,2021,4,Friday,False
326,2021-11-23,0.4,12,partial_snow_packed_wet_el_half,0.0,0.0,1.0,1.0,2021-11-23,11,23,2021,1,Tuesday,False
335,2021-12-02,-1.3,12,partial_snow_packed_wet_el_half,0.6,3.2,2.0,2.0,2021-12-02,12,2,2021,3,Thursday,False
336,2021-12-03,-5.2,17,complete_snow_loose_dry,0.0,0.0,3.0,1.0,2021-12-03,12,3,2021,4,Friday,False
361,2021-12-28,-0.5,17,complete_snow_loose_dry,2.0,0.0,3.0,2.0,2021-12-28,12,28,2021,1,Tuesday,False
384,2022-01-20,-3.5,17,complete_snow_loose_dry,0.0,2.8,6.0,6.0,2022-01-20,1,20,2022,3,Thursday,False
398,2022-02-03,-3.5,17,complete_snow_loose_dry,0.5,0.0,3.0,1.0,2022-02-03,2,3,2022,3,Thursday,False
403,2022-02-08,0.5,17,complete_snow_loose_dry,1.7,0.4,2.0,2.0,2022-02-08,2,8,2022,1,Tuesday,False
417,2022-02-22,-4.2,17,complete_snow_loose_dry,0.0,0.1,5.0,3.0,2022-02-22,2,22,2022,1,Tuesday,False
420,2022-02-25,0.7,12,partial_snow_packed_wet_el_half,0.0,3.7,1.0,1.0,2022-02-25,2,25,2022,4,Friday,False
689,2022-11-21,0.1,17,complete_snow_loose_dry,11.5,3.0,25.0,10.999999999999998,2022-11-21,11,21,2022,0,Monday,False
690,2022-11-22,1.5,17,complete_snow_loose_dry,0.2,0.0,28.999999999999996,3.9999999999999964,2022-11-22,11,22,2022,1,Tuesday,False
707,2022-12-09,-4.4,17,complete_snow_loose_dry,0.7,0.1,1.0,1.0,2022-12-09,12,9,2022,4,Friday,False
710,2022-12-12,-3.1,17,complete_snow_loose_dry,1.0,0.0,4.0,2.0,2022-12-12,12,12,2022,0,Monday,False
711,2022-12-13,-6.8,17,complete_snow_loose_dry,0.3,0.0,8.0,4.0,2022-12-13,12,13,2022,1,Tuesday,False
713,2022-12-15,-9.2,17,complete_snow_loose_dry,0.0,0.2,14.000000000000002,7.000000000000001,2022-12-15,12,15,2022,3,Thursday,False
732,2023-01-03,-0.5,12,partial_snow_packed_wet_el_half,0.0,0.4,1.0,1.0,2023-01-03,1,3,2023,1,Tuesday,False
734,2023-01-05,-1.2,17,complete_snow_loose_dry,0.7,1.0,3.0,2.0,2023-01-05,1,5,2023,3,Thursday,False
762,2023-02-02,-2.8,12,partial_snow_packed_wet_el_half,0.0,0.1,2.0,2.0,2023-02-02,2,2,2023,3,Thursday,False
782,2023-02-22,-3.2,17,complete_snow_loose_dry,1.3,0.1,2.0,2.0,2023-02-22,2,22,2023,2,Wednesday,False
794,2023-03-06,-5.0,12,partial_snow_packed_wet_el_half,0.1,0.1,3.0,3.0,2023-03-06,3,6,2023,0,Monday,False
796,2023-03-08,-3.1,17,complete_snow_loose_dry,5.0,0.4,18.0,17.0,2023-03-08,3,8,2023,2,Wednesday,False
797,2023-03-09,-5.2,17,complete_snow_loose_dry,1.5,0.0,28.000000000000004,10.000000000000004,2023-03-09,3,9,2023,3,Thursday,False
815,2023-03-27,-3.9,17,complete_snow_loose_dry,7.0,0.9,4.0,3.0,2023-03-27,3,27,2023,0,Monday,False
816,2023-03-28,-4.4,17,complete_snow_loose_dry,0.4,0.5,15.0,11.0,2023-03-28,3,28,2023,1,Tuesday,False
818,2023-03-30,-4.6,17,complete_snow_loose_dry,0.0,0.0,14.000000000000002,1.0000000000000018,2023-03-30,3,30,2023,3,Thursday,False
1061,2023-11-28,-3.8,17,complete_snow_loose_dry,9.7,0.0,4.0,2.0,2023-11-28,11,28,2023,1,Tuesday,False
1062,2023-11-29,-4.9,17,complete_snow_loose_dry,0.8,0.9,15.0,11.0,2023-11-29,11,29,2023,2,Wednesday,False
1063,2023-11-30,-2.3,17,complete_snow_loose_dry,3.1,0.5,16.0,1.0,2023-11-30,11,30,2023,3,Thursday,False
1064,2023-12-01,-1.1,17,complete_snow_loose_dry,0.2,0.0,17.0,1.0,2023-12-01,12,1,2023,4,Friday,False
1071,2023-12-08,0.6,17,complete_snow_loose_dry,1.4,0.9,15.0,2.0,2023-12-08,12,8,2023,4,Friday,False
1074,2023-12-11,1.1,17,complete_snow_loose_dry,1.8,1.9,14.000000000000002,1.0000000000000018,2023-12-11,12,11,2023,0,Monday,False
1075,2023-12-12,-2.7,17,complete_snow_loose_dry,0.2,0.0,15.0,0.9999999999999982,2023-12-12,12,12,2023,1,Tuesday,False
1096,2024-01-02,-5.1,17,complete_snow_loose_dry,0.8,0.30000000000000004,7.000000000000001,5.000000000000001,2024-01-02,1,2,2024,1,Tuesday,False
1097,2024-01-03,-7.0,17,complete_snow_loose_dry,1.5,0.0,8.0,0.9999999999999991,2024-01-03,1,3,2024,2,Wednesday,False
1098,2024-01-04,-7.4,17,complete_snow_loose_dry,0.8,0.0,10.0,2.0,2024-01-04,1,4,2024,3,Thursday,False
1109,2024-01-15,-5.6,17,complete_snow_loose_dry,0.5,1.4,9.0,6.0,2024-01-15,1,15,2024,0,Monday,False
1110,2024-01-16,-13.6,17,complete_snow_loose_dry,0.3,0.1,13.0,4.0,2024-01-16,1,16,2024,1,Tuesday,False
1111,2024-01-17,-2.0,17,complete_snow_loose_dry,7.1,0.5,14.000000000000002,1.0000000000000018,2024-01-17,1,17,2024,2,Wednesday,False
1112,2024-01-18,-4.6,17,complete_snow_loose_dry,0.1,0.0,18.0,3.9999999999999982,2024-01-18,1,18,2024,3,Thursday,False
1134,2024-02-09,-4.6,17,complete_snow_loose_dry,0.3,2.5,3.0,3.0,2024-02-09,2,9,2024,4,Friday,False
1138,2024-02-13,-0.4,17,complete_snow_loose_dry,6.0,1.8,6.0,3.0,2024-02-13,2,13,2024,1,Tuesday,False
1139,2024-02-14,-2.3,17,complete_snow_loose_dry,0.0,0.0,9.0,3.0,2024-02-14,2,14,2024,2,Wednesday,False
1144,2024-02-19,0.9,17,complete_snow_loose_dry,1.6,0.9000000000000001,1.0,1.0,2024-02-19,2,19,2024,0,Monday,False
